customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
ER63193,California,7715.103608,No,Extended,High School or Below,2011-01-25,Employed,F,48784,Urban,Married,96,28.0,86,0.0,3,Corporate Auto,Corporate L2,Offer1,Branch,252.076899,Four-Door Car,Medsize,January
EO87464,Oregon,7915.980712,No,Extended,High School or Below,2011-02-05,Employed,M,31383,Suburban,Married,99,24.0,72,0.0,6,Corporate Auto,Corporate L2,Offer2,Agent,475.2,Four-Door Car,Medsize,February
LI77073,Oregon,7100.3251,No,Premium,College,2011-02-06,Employed,M,31670,Suburban,Married,179,33.0,3,0.0,1,Corporate Auto,Corporate L3,Offer3,Agent,1288.8,Sports Car,Large,February
DX91931,Washington,10242.4096,No,Premium,College,2011-02-12,Unemployed,M,0,Suburban,Single,150,32.0,20,0.0,8,Personal Auto,Personal L1,Offer1,Branch,1080.0,SUV,Small,February
LT79371,Arizona,2382.672856,No,Basic,Bachelor,2011-01-29,Unemployed,F,0,Rural,Married,65,24.0,47,0.0,1,Personal Auto,Personal L1,Offer1,Agent,27.031485,Four-Door Car,Medsize,January
LM76366,Nevada,2999.338779,No,Extended,High School or Below,2011-01-04,Employed,M,28564,Suburban,Married,76,17.0,44,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,364.8,Two-Door Car,Small,January
NA27429,Nevada,3644.833554,Yes,Extended,High School or Below,2011-01-15,Employed,F,82477,Suburban,Married,90,1.0,69,0.0,1,Personal Auto,Personal L3,Offer2,Agent,432.0,Two-Door Car,Large,January
PC23709,California,5714.562292,No,Basic,Bachelor,2011-02-25,Employed,F,74905,Rural,Single,72,16.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Call Center,167.028453,Four-Door Car,Medsize,February
IH78357,Oregon,5761.317533,No,Basic,College,2011-01-17,Employed,F,83392,Rural,Married,71,30.0,80,0.0,3,Personal Auto,Personal L3,Offer2,Web,125.961938,Four-Door Car,Medsize,January
JZ61422,Nevada,5272.191556,No,Basic,College,2011-02-07,Employed,F,96668,Suburban,Single,66,2.0,95,0.0,3,Personal Auto,Personal L2,Offer1,Agent,316.8,Four-Door Car,Medsize,February
DX28320,California,5111.357987,No,Basic,High School or Below,2011-01-29,Unemployed,F,0,Suburban,Single,72,6.0,13,2.0,7,Personal Auto,Personal L3,Offer1,Branch,594.683752,Four-Door Car,Medsize,January
DM34321,California,3420.661111,No,Extended,Master,2011-02-08,Retired,F,11652,Suburban,Married,89,23.0,13,0.0,1,Personal Auto,Personal L2,Offer4,Call Center,526.476537,Two-Door Car,Small,February
YK43172,Arizona,3319.620511,No,Extended,Bachelor,2011-01-12,Employed,M,69152,Rural,Single,89,8.0,83,4.0,1,Personal Auto,Personal L3,Offer3,Web,221.359492,Four-Door Car,Large,January
ZN36983,California,9006.598402,No,Extended,College,2011-01-17,Unemployed,M,0,Suburban,Married,86,19.0,99,1.0,2,Personal Auto,Personal L3,Offer1,Web,412.8,Four-Door Car,Medsize,January
UM28580,Oregon,4428.031583,Yes,Basic,High School or Below,2011-01-29,Employed,F,58577,Urban,Married,110,6.0,62,0.0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,Medsize,January
EE76374,Nevada,20842.5963,No,Basic,High School or Below,2011-01-29,Unemployed,F,0,Suburban,Single,72,14.0,29,0.0,2,Personal Auto,Personal L3,Offer1,Web,709.082334,Four-Door Car,Medsize,January
FB95495,California,5677.642084,No,Basic,College,2011-01-12,Employed,M,53078,Suburban,Single,73,1.0,10,0.0,5,Personal Auto,Personal L3,Offer1,Branch,764.221884,Four-Door Car,Medsize,January
PE54870,Oregon,4050.506193,No,Basic,College,2011-02-26,Employed,M,88454,Urban,Divorced,101,8.0,89,0.0,1,Personal Auto,Personal L3,Offer1,Web,308.749796,SUV,Medsize,February
DV27428,Oregon,13776.74135,No,Basic,High School or Below,2011-01-09,Employed,M,62634,Rural,Single,116,10.0,89,0.0,2,Personal Auto,Personal L2,Offer3,Call Center,122.017931,SUV,Medsize,January
BG95711,,16477.47799,,Extended,College,2011-02-22,Employed,F,57264,Rural,Divorced,84,0.0,30,1.0,2,Personal Auto,Personal L3,Offer1,Branch,129.249842,Four-Door Car,Medsize,February
MF49636,Arizona,5390.27165,No,Basic,High School or Below,2011-02-23,Employed,M,70705,Urban,Married,69,31.0,61,2.0,6,Personal Auto,Personal L1,Offer1,Agent,272.024652,Two-Door Car,Medsize,February
DA40009,Washington,2750.540853,No,Basic,Bachelor,2011-02-08,Employed,F,34200,Rural,Divorced,70,27.0,15,0.0,1,Corporate Auto,Corporate L3,Offer3,Agent,167.295936,Four-Door Car,Medsize,February
HV62406,Oregon,2482.411991,No,Basic,High School or Below,2011-01-13,Disabled,F,26100,Suburban,Single,67,6.0,29,0.0,1,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Medsize,January
JU64043,Oregon,4999.34581,No,Basic,Master,2011-01-07,Employed,M,49414,Rural,Single,68,8.0,82,5.0,6,Personal Auto,Personal L3,Offer1,Agent,159.631303,Four-Door Car,Large,January
MC71942,,7919.197048,,Extended,High School or Below,2011-01-07,Employed,F,82877,Rural,Married,99,8.0,89,1.0,3,Personal Auto,Personal L3,Offer1,Agent,22.819088,Two-Door Car,Medsize,January
NR18672,Nevada,2928.115104,No,Basic,High School or Below,2011-01-24,Employed,M,63127,Rural,Married,74,35.0,17,1.0,1,Personal Auto,Personal L1,Offer4,Agent,174.292234,Two-Door Car,Large,January
VW88885,,17006.00256,,Basic,Bachelor,2011-01-14,Employed,F,58620,Suburban,Married,71,11.0,51,0.0,2,Corporate Auto,Corporate L2,Offer3,Call Center,340.8,Four-Door Car,Medsize,January
KB90953,California,40132.01135,No,Extended,Bachelor,2011-02-24,Employed,F,98710,Urban,Married,123,21.0,42,0.0,2,Personal Auto,Personal L2,Offer2,Branch,587.391029,Sports Car,Medsize,February
NW19960,Oregon,9095.049868,Yes,Basic,College,2011-01-11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,556.8,SUV,Medsize,January
AI49188,Nevada,12887.43165,No,Premium,Bachelor,2011-02-19,Employed,F,48767,Suburban,Married,108,18.0,38,0.0,2,Personal Auto,Personal L3,Offer1,Agent,566.472247,Two-Door Car,Medsize,February
FY62633,Oregon,9112.266649,No,Extended,Bachelor,2011-01-14,Unemployed,M,0,Suburban,Single,90,21.0,21,0.0,2,Personal Auto,Personal L1,Offer1,Agent,432.0,,,January
RI97135,Washington,3008.969524,No,Extended,Bachelor,2011-01-07,Unemployed,M,0,Urban,Single,87,2.0,55,0.0,1,Personal Auto,Personal L3,Offer1,Branch,401.484738,Four-Door Car,Medsize,January
OZ47099,Arizona,2676.948677,No,Basic,Master,2011-01-24,Unemployed,M,0,Suburban,Married,71,17.0,6,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,340.8,Four-Door Car,Medsize,January
JK68578,California,15306.13396,No,Basic,High School or Below,2011-02-06,Employed,F,83868,Rural,Married,189,30.0,91,0.0,7,Corporate Auto,Corporate L2,Offer1,Agent,134.836237,,,February
ET87938,Oregon,4328.864771,No,Basic,College,2011-01-17,Retired,M,24711,Suburban,Divorced,62,15.0,11,0.0,6,Personal Auto,Personal L3,Offer1,Call Center,362.989533,Two-Door Car,Small,January
RO87000,California,2688.878609,No,Basic,High School or Below,2011-02-16,Employed,M,50719,Suburban,Single,68,10.0,28,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,394.248334,Four-Door Car,Medsize,February
XW89091,California,9816.528302,Yes,Basic,College,2011-01-28,Employed,M,37256,Rural,Married,62,15.0,7,0.0,2,Personal Auto,Personal L3,Offer1,Branch,128.969729,Four-Door Car,Medsize,January
DD68171,Arizona,3527.851585,No,Extended,Bachelor,2011-02-08,Employed,F,59496,Rural,Married,88,22.0,64,0.0,1,Personal Auto,Personal L3,Offer1,Agent,189.144728,,,February
VJ71087,Arizona,3993.882994,No,Basic,Bachelor,2011-01-09,Disabled,M,17672,Suburban,Divorced,110,28.0,16,0.0,1,Personal Auto,Personal L1,Offer3,Branch,792.0,SUV,Medsize,January
KX47545,Oregon,8031.706693,No,Basic,High School or Below,2011-01-22,Employed,M,40082,Suburban,Divorced,69,6.0,18,0.0,2,Personal Auto,Personal L2,Offer4,Agent,331.2,Four-Door Car,Small,January
BV53716,Oregon,5266.420543,No,Basic,High School or Below,2011-02-12,Employed,F,93348,Rural,Married,65,23.0,50,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,108.567965,Four-Door Car,Medsize,February
QW31435,Oregon,7191.831645,No,Basic,High School or Below,2011-01-17,Unemployed,M,0,Urban,Married,67,9.0,54,0.0,2,Personal Auto,Personal L3,Offer3,Branch,308.54976,Two-Door Car,Medsize,January
ZV32968,Oregon,7285.030983,Yes,Basic,High School or Below,2011-02-28,Employed,M,44788,Suburban,Married,61,6.0,48,0.0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small,February
PN69476,Nevada,2453.336242,No,Basic,Master,2011-01-27,Unemployed,M,0,Suburban,Married,70,5.0,70,2.0,1,Personal Auto,Personal L3,Offer4,Branch,449.601961,Two-Door Car,Medsize,January
GO75708,Arizona,6054.488387,No,Extended,Master,2011-02-06,Disabled,F,17200,Rural,Married,83,5.0,62,4.0,8,Personal Auto,Personal L2,Offer1,Branch,48.780064,Four-Door Car,Medsize,February
NV69875,Oregon,2956.358303,No,Basic,High School or Below,2011-01-22,Employed,M,40901,Rural,Married,74,2.0,36,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,13.628274,Four-Door Car,Medsize,January
KH41809,California,2489.387507,No,Basic,College,2011-01-29,Employed,F,31058,Urban,Married,67,5.0,19,5.0,1,Personal Auto,Personal L1,Offer4,Branch,309.424708,Two-Door Car,Medsize,January
AJ32539,Oregon,2829.312319,No,Basic,Bachelor,2011-02-27,Employed,M,25860,Suburban,Married,72,,46,,1,Personal Auto,Personal L3,Offer2,Web,345.6,Four-Door Car,Medsize,February
NT36519,California,8161.944953,No,Basic,College,2011-02-16,Employed,M,32967,Suburban,Married,105,16.0,70,1.0,4,Personal Auto,Personal L2,Offer1,Branch,504.0,,,February
NX32730,California,3000.437822,No,Basic,High School or Below,2011-02-08,Employed,F,77041,Suburban,Married,74,11.0,61,0.0,1,Personal Auto,Personal L3,Offer3,Agent,475.01424,Two-Door Car,Large,February
WI75766,Arizona,10083.48688,Yes,Extended,High School or Below,2011-02-19,Retired,F,11828,Suburban,Divorced,90,18.0,84,0.0,2,Personal Auto,Personal L2,Offer1,Agent,571.479602,Four-Door Car,Large,February
JV80614,California,2939.330187,No,Basic,College,2011-01-29,Employed,M,53357,Rural,Married,73,4.0,77,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,55.320014,Four-Door Car,Medsize,January
HD32695,Arizona,4447.423455,No,Premium,Bachelor,2011-02-14,Disabled,F,13128,Suburban,Married,118,,21,,1,Personal Auto,Personal L1,Offer4,Call Center,771.878514,Four-Door Car,Medsize,February
LA34671,Arizona,7628.749434,No,Extended,College,2011-02-13,Unemployed,M,0,Suburban,Single,77,17.0,65,0.0,2,Personal Auto,Personal L3,Offer1,Agent,369.6,Four-Door Car,Small,February
US45383,,12280.76661,,Premium,College,2011-01-01,Employed,M,88340,Suburban,Married,102,16.0,1,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Medsize,January
ZN65873,California,3731.504584,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,0,Suburban,Married,96,31.0,34,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,460.8,Four-Door Car,Large,February
RN66346,California,14663.19646,No,Basic,Master,2011-01-24,Employed,M,91015,Rural,Divorced,73,31.0,30,1.0,2,Personal Auto,Personal L3,Offer3,Agent,119.062347,Two-Door Car,Medsize,January
LK40273,Oregon,4898.674401,No,Basic,College,2011-02-11,Employed,M,33938,Rural,Single,64,21.0,76,0.0,7,Personal Auto,Personal L2,Offer1,Branch,63.709865,Four-Door Car,Medsize,February
FL50705,California,8162.617053,No,Premium,High School or Below,2011-01-14,Employed,F,66140,Suburban,Married,101,11.0,21,0.0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small,January
HW40931,Oregon,10834.86984,No,Extended,College,2011-01-06,Employed,F,34612,Suburban,Married,91,8.0,77,1.0,2,Special Auto,Special L1,Offer4,Web,655.2,Four-Door Car,Small,January
GZ22403,Oregon,4068.092649,No,Basic,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Married,63,3.0,35,4.0,4,Personal Auto,Personal L3,Offer4,Web,753.22565,Two-Door Car,Medsize,January
RH71877,Arizona,4770.550911,Yes,Basic,College,2011-02-01,Medical Leave,F,12964,Suburban,Single,65,2.0,37,0.0,4,Personal Auto,Personal L3,Offer1,Web,362.774545,Two-Door Car,Medsize,February
GE39783,Oregon,5356.137712,No,Basic,College,2011-01-04,Employed,F,60752,Suburban,Married,67,4.0,19,0.0,7,Personal Auto,Personal L1,Offer1,Agent,414.106436,Four-Door Car,Medsize,January
MQ54182,California,4739.34663,No,Premium,Bachelor,2011-02-11,Employed,F,49447,Suburban,Married,119,9.0,48,2.0,1,Personal Auto,Personal L2,Offer1,Branch,762.007253,Four-Door Car,Medsize,February
DK93464,Nevada,8571.480718,No,Premium,Bachelor,2011-01-23,Employed,F,56202,Urban,Married,107,19.0,33,0.0,8,Personal Auto,Personal L1,Offer2,Agent,513.511091,Two-Door Car,Medsize,January
GV75215,Oregon,13167.60512,No,Basic,Bachelor,2011-02-12,Employed,F,54684,Urban,Married,111,13.0,15,3.0,2,Corporate Auto,Corporate L3,Offer2,Agent,302.137164,Sports Car,Medsize,February
PG20605,Arizona,9321.284825,No,Basic,College,2011-01-02,Unemployed,M,0,Suburban,Single,64,26.0,99,0.0,2,Personal Auto,Personal L3,Offer3,Agent,572.522796,Four-Door Car,Large,January
HZ62410,Oregon,2771.963072,No,Extended,Bachelor,2011-01-03,Unemployed,M,0,Suburban,Single,79,6.0,55,0.0,1,Personal Auto,Personal L3,Offer1,Agent,379.2,Four-Door Car,Medsize,January
FL30667,California,9298.887011,No,Extended,College,2011-01-19,Employed,F,22094,Suburban,Married,79,2.0,34,1.0,2,Corporate Auto,Corporate L1,Offer4,Branch,460.889274,Four-Door Car,Small,January
GA79817,Arizona,2369.111588,No,Basic,Bachelor,2011-02-05,Unemployed,M,0,Suburban,Single,65,8.0,91,0.0,1,Corporate Auto,Corporate L2,Offer3,Call Center,468.0,Four-Door Car,Medsize,February
PD11073,,7614.830065,,Extended,College,2011-02-03,Employed,F,35045,Urban,Married,96,21.0,47,0.0,5,Personal Auto,Personal L3,Offer1,Agent,420.606785,Four-Door Car,Medsize,February
DT99586,California,37111.65952,No,Basic,Master,2011-02-08,Employed,F,61552,Rural,Married,115,1.0,95,0.0,2,Personal Auto,Personal L3,Offer1,Agent,12.252847,SUV,Medsize,February
GL99349,California,20474.14563,No,Basic,High School or Below,2011-02-01,Employed,M,95621,Suburban,Married,66,7.0,90,5.0,2,Personal Auto,Personal L2,Offer4,Web,351.877002,Two-Door Car,Small,February
OL72669,Arizona,10033.28281,No,Premium,Bachelor,2011-02-07,Unemployed,M,0,Suburban,Single,146,5.0,84,0.0,3,Corporate Auto,Corporate L3,Offer1,Call Center,1404.845849,,,February
OK50159,Arizona,4305.793209,No,Basic,Bachelor,2011-01-06,Employed,F,31071,Rural,Single,111,0.0,57,2.0,1,Personal Auto,Personal L2,Offer2,Call Center,215.23091,Sports Car,Small,January
MW70227,California,6047.02516,Yes,Extended,College,2011-02-19,Employed,M,20396,Suburban,Married,76,15.0,60,1.0,4,Personal Auto,Personal L1,Offer1,Branch,364.8,Four-Door Car,Medsize,February
WT71621,Washington,3280.457296,No,Extended,Bachelor,2011-02-02,Employed,F,63297,Urban,Married,82,1.0,33,0.0,1,Personal Auto,Personal L3,Offer2,Web,251.756739,Four-Door Car,Medsize,February
GX38439,,4470.181084,,Extended,College,2011-01-23,Unemployed,F,0,Suburban,Single,129,2.0,72,0.0,1,Personal Auto,Personal L2,Offer4,Web,928.8,SUV,Medsize,January
XI14610,California,3645.464325,No,Extended,College,2011-01-04,Medical Leave,F,19121,Suburban,Married,95,1.0,18,0.0,1,Personal Auto,Personal L2,Offer2,Agent,915.188647,Four-Door Car,Small,January
ZF81243,Nevada,4376.363592,Yes,Premium,Bachelor,2011-02-28,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L1,Offer2,Agent,60.036683,Four-Door Car,Medsize,February
NU84299,Arizona,2854.114491,No,Basic,High School or Below,2011-01-22,Employed,M,71126,Urban,Married,71,11.0,72,0.0,1,Personal Auto,Personal L1,Offer4,Branch,324.739746,Four-Door Car,Medsize,January
EH22538,California,2574.198807,No,Basic,High School or Below,2011-02-11,Employed,M,43846,Rural,Married,65,16.0,33,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,125.52458,Four-Door Car,Large,February
IC55961,Arizona,20552.62128,No,Basic,High School or Below,2011-01-26,Unemployed,F,0,Suburban,Single,187,22.0,97,1.0,2,Corporate Auto,Corporate L2,Offer1,Agent,1430.336183,Luxury SUV,Medsize,January
ND87457,Nevada,6091.89923,No,Extended,Bachelor,2011-02-03,Employed,M,65252,Suburban,Divorced,78,27.0,75,0.0,9,Personal Auto,Personal L3,Offer2,Branch,482.48791,Four-Door Car,Medsize,February
BH28530,California,21592.10096,No,Premium,High School or Below,2011-01-15,Employed,M,51204,Suburban,Married,181,28.0,23,0.0,2,Personal Auto,Personal L2,Offer4,Web,929.554445,Sports Car,Medsize,January
YP17198,Oregon,22325.82746,No,Basic,Master,2011-01-05,Employed,M,99241,Rural,Single,70,22.0,27,0.0,2,Corporate Auto,Corporate L3,Offer2,Branch,48.304125,,,January
SL71970,Oregon,2336.177331,No,Basic,High School or Below,2011-02-28,Unemployed,F,0,Suburban,Single,67,21.0,28,0.0,1,Special Auto,Special L3,Offer2,Agent,458.661381,Four-Door Car,Medsize,February
PZ53130,California,8467.267232,No,Basic,College,2011-01-14,Medical Leave,F,16370,Urban,Married,74,4.0,54,0.0,2,Personal Auto,Personal L2,Offer3,Branch,296.049396,Two-Door Car,Large,January
BZ50261,Arizona,11619.91802,No,Basic,High School or Below,2011-01-14,Employed,F,78275,Rural,Married,72,12.0,36,0.0,2,Personal Auto,Personal L2,Offer4,Branch,25.336642,Two-Door Car,Small,January
JC11405,Oregon,10963.95723,Yes,Premium,High School or Below,2011-02-08,Employed,M,55687,Suburban,Divorced,276,33.0,91,0.0,1,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize,February
YU72540,Arizona,10357.62776,No,Basic,College,2011-02-08,Employed,F,52735,Rural,Married,65,21.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,123.512596,Four-Door Car,Medsize,February
CV78865,Arizona,2698.010741,No,Basic,High School or Below,2011-02-22,Employed,M,95399,Rural,Married,68,1.0,36,1.0,1,Personal Auto,Personal L2,Offer4,Branch,78.003781,Two-Door Car,Medsize,February
SZ35936,Oregon,26197.41498,Yes,Basic,High School or Below,2011-01-15,Disabled,F,18495,Suburban,Married,113,10.0,15,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,542.4,SUV,Large,January
RN66968,California,5332.615013,No,Basic,High School or Below,2011-01-03,Employed,M,74837,Suburban,Married,66,9.0,18,0.0,7,Personal Auto,Personal L3,Offer2,Agent,376.502488,,,January
YP16210,California,5878.447428,No,Basic,College,2011-01-02,Employed,F,25398,Suburban,Married,74,23.0,2,0.0,3,Personal Auto,Personal L3,Offer4,Branch,465.922152,Four-Door Car,Large,January
QR87004,Nevada,8456.961887,No,Basic,College,2011-01-09,Employed,F,25141,Rural,Divorced,73,12.0,4,1.0,2,Personal Auto,Personal L3,Offer3,Agent,25.438063,Four-Door Car,Medsize,January
BV22194,Arizona,14194.15441,No,Basic,High School or Below,2011-02-13,Employed,F,88178,Suburban,Married,70,32.0,78,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,336.0,Two-Door Car,Medsize,February
PH91033,,15808.75757,,Extended,College,2011-01-25,Employed,M,86347,Urban,Married,130,17.0,93,0.0,2,Personal Auto,Personal L2,Offer1,Web,593.779554,Sports Car,Medsize,January
AM72411,Oregon,2279.696801,No,Basic,High School or Below,2011-02-21,Medical Leave,M,23253,Suburban,Divorced,61,20.0,49,0.0,1,Personal Auto,Personal L1,Offer2,Branch,292.8,Two-Door Car,Medsize,February
WD85096,California,4904.462754,No,Basic,Master,2011-01-21,Disabled,F,27593,Urban,Married,63,31.0,78,0.0,6,Corporate Auto,Corporate L3,Offer1,Agent,241.232198,Two-Door Car,Medsize,January
CY49953,,2827.55957,,Extended,College,2011-02-18,Unemployed,F,0,Suburban,Single,79,,25,,1,Special Auto,Special L2,Offer3,Branch,568.8,,,February
XH46220,California,3746.751625,Yes,Extended,College,2011-02-26,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,19.575683,Two-Door Car,Large,February
PR64751,Nevada,2606.045519,No,Basic,Bachelor,2011-02-11,Unemployed,M,0,Suburban,Married,71,10.0,22,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,409.459488,Two-Door Car,Small,February
AT79008,California,9065.25926,No,Premium,Bachelor,2011-02-08,Employed,F,40006,Rural,Divorced,114,34.0,18,1.0,7,Personal Auto,Personal L2,Offer1,Branch,132.568435,Two-Door Car,Medsize,February
QH62059,California,4490.597249,No,Basic,Bachelor,2011-02-17,Unemployed,M,0,Suburban,Divorced,64,26.0,11,1.0,7,Personal Auto,Personal L3,Offer1,Web,307.2,Four-Door Car,Medsize,February
TU67471,Washington,20096.89337,Yes,Basic,High School or Below,2011-01-01,Employed,F,92766,Suburban,Married,71,17.0,15,0.0,2,Personal Auto,Personal L2,Offer2,Agent,379.029102,Two-Door Car,Large,January
EQ87425,California,6919.016085,No,Basic,High School or Below,2011-01-16,Unemployed,F,0,Rural,Single,69,,85,,2,Corporate Auto,Corporate L3,Offer1,Branch,40.401396,Four-Door Car,Medsize,January
SB24397,California,7519.133631,Yes,Extended,High School or Below,2011-02-20,Employed,M,96306,Rural,Divorced,95,12.0,17,1.0,6,Personal Auto,Personal L3,Offer1,Agent,185.355353,Four-Door Car,Medsize,February
OA55110,Arizona,5264.361755,No,Basic,Master,2011-02-27,Medical Leave,M,14306,Urban,Divorced,74,31.0,22,3.0,7,Corporate Auto,Corporate L2,Offer2,Agent,355.061143,Four-Door Car,Medsize,February
IU95336,Arizona,2823.501795,No,Basic,High School or Below,2011-02-28,Employed,M,24350,Suburban,Married,73,6.0,89,3.0,1,Corporate Auto,Corporate L2,Offer2,Branch,350.4,Four-Door Car,Medsize,February
WH80404,California,17250.74771,No,Basic,High School or Below,2011-01-28,Employed,M,22276,Suburban,Married,111,19.0,73,1.0,2,Personal Auto,Personal L2,Offer3,Call Center,783.211084,SUV,Medsize,January
JX60415,Arizona,3554.845264,Yes,Extended,Master,2011-01-10,Employed,F,58557,Rural,Married,88,4.0,83,0.0,1,Personal Auto,Personal L2,Offer1,Branch,55.510526,Four-Door Car,Large,January
HC90344,California,20370.76787,No,Basic,Bachelor,2011-02-09,Unemployed,F,0,Suburban,Single,73,0.0,21,1.0,2,Corporate Auto,Corporate L2,Offer1,Branch,525.6,Four-Door Car,Medsize,February
LU12532,California,6503.397049,Yes,Extended,High School or Below,2011-02-19,Disabled,F,22081,Suburban,Married,84,1.0,9,0.0,6,Personal Auto,Personal L3,Offer1,Agent,451.670309,Two-Door Car,Small,February
KW56110,Oregon,18361.55525,No,Basic,Bachelor,2011-02-28,Unemployed,M,0,Suburban,Single,182,3.0,56,0.0,2,Personal Auto,Personal L2,Offer1,Web,1310.4,Luxury Car,Medsize,February
BS13062,Arizona,25755.27817,No,Extended,High School or Below,2011-01-21,Unemployed,F,0,Suburban,Married,81,3.0,60,2.0,2,Personal Auto,Personal L2,Offer4,Call Center,388.8,,,January
AS77287,California,8099.571213,No,Basic,College,2011-01-03,Disabled,M,25452,Suburban,Single,107,20.0,60,0.0,3,Personal Auto,Personal L3,Offer1,Agent,954.688499,Sports Car,Medsize,January
RI52095,Washington,7610.540153,No,Basic,High School or Below,2011-02-02,Employed,M,51878,Suburban,Single,66,10.0,16,1.0,2,Personal Auto,Personal L3,Offer2,Branch,316.8,Four-Door Car,Medsize,February
AU45793,Arizona,3436.134281,Yes,Extended,Doctor,2011-02-18,Employed,M,30817,Rural,Divorced,88,25.0,43,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,91.834668,Four-Door Car,Medsize,February
JN26745,Nevada,4135.775206,No,Premium,Bachelor,2011-01-30,Unemployed,F,0,Suburban,Married,112,16.0,62,0.0,1,Special Auto,Special L2,Offer3,Agent,707.977614,Four-Door Car,Large,January
JO64353,Oregon,5301.835462,No,Basic,High School or Below,2011-01-01,Employed,F,20269,Suburban,Married,66,,79,,3,Personal Auto,Personal L3,Offer1,Agent,475.2,Two-Door Car,Small,January
JR62870,California,5703.288862,No,Basic,High School or Below,2011-02-25,Employed,M,41438,Urban,Single,72,8.0,39,0.0,9,Personal Auto,Personal L1,Offer1,Branch,323.836677,Two-Door Car,Medsize,February
WS47147,California,22103.5072,Yes,Basic,College,2011-01-30,Unemployed,M,0,Suburban,Married,102,35.0,48,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,SUV,Medsize,January
KZ29413,Oregon,15672.69696,No,Extended,Master,2011-01-29,Unemployed,M,0,Suburban,Married,139,4.0,35,0.0,2,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,Medsize,January
CJ29883,Arizona,5332.462694,Yes,Basic,Doctor,2011-02-22,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Personal Auto,Personal L1,Offer2,Branch,309.577946,Four-Door Car,Medsize,February
PQ35034,Oregon,9918.69966,No,Basic,College,2011-02-28,Employed,F,37586,Rural,Divorced,63,29.0,90,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,153.489143,,,February
NU57274,California,9354.128045,No,Extended,Bachelor,2011-01-01,Unemployed,M,0,Suburban,Single,135,24.0,67,0.0,8,Personal Auto,Personal L1,Offer1,Branch,972.0,SUV,Large,January
OW68478,California,12298.6863,Yes,Basic,High School or Below,2011-02-20,Medical Leave,M,17101,Suburban,Single,113,1.0,88,0.0,2,Corporate Auto,Corporate L1,Offer1,Call Center,542.4,SUV,Medsize,February
KG53186,Nevada,3136.698216,No,Extended,College,2011-02-03,Employed,M,59644,Suburban,Married,79,15.0,94,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,379.2,Four-Door Car,Medsize,February
AU91447,Oregon,12731.95161,Yes,Basic,Doctor,2011-01-14,Employed,M,40870,Suburban,Married,105,3.0,56,0.0,2,Special Auto,Special L2,Offer1,Agent,504.0,SUV,Large,January
SH55671,Arizona,11413.44115,No,Premium,College,2011-02-06,Unemployed,F,0,Suburban,Married,161,3.0,71,1.0,9,Personal Auto,Personal L3,Offer1,Branch,772.8,Sports Car,Small,February
AQ30231,California,5800.772699,No,Extended,Bachelor,2011-01-10,Unemployed,F,0,Suburban,Married,78,16.0,93,0.0,6,Personal Auto,Personal L2,Offer2,Agent,374.4,Four-Door Car,Small,January
ZI73222,California,15700.28436,No,Extended,High School or Below,2011-02-01,Unemployed,M,0,Suburban,Married,211,31.0,52,0.0,5,Personal Auto,Personal L3,Offer1,Web,1012.8,Luxury SUV,Medsize,February
